"Spalte1","klimatische(r) Stressor(en)","Anpassungsmaßnahme","Branche(n)","Unternehmensbereich / Handlungsfeld","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Hitze","Begrünung des Betriebsgeländes und von Fassaden und Dächern","Getränkeindustrie; Bausektor; Nahrungsmittelindustrie; Verarbeitendes Gewerbe","Bauliche Maßnahmen","Decker Bier; C2","Deutschland","Tieflagen"," zur Beschattung und Kühlung","Decker: In  den  Sommermonaten  wurde  es  schon  sehr  trocken  und  heiß.  Wir haben  selber  dort  [im  Außenbereich  der  Decker-Garage]  ein  bisschen  Hopfen  angepflanzt, das war alles schön. Letztes Jahr konnten wir das noch von Hand gießen, dieses Jahr haben wir  eine  Bewässerungsanlage  installiert,  um  die Begrünung  aufrecht  zu erhalten. [...]Da  war  der  Gedanke,  den  Hof  mehr  zu  begrünen,  um  es  ein  bisschen schattiger und kühler zu machen. Also, so halb halb, es soll auch gemütlicher sein und schöner aussehen.Wir haben aber auch gemerkt, dass da die Sonne ganz schön reinbrezelt und wir etwas Schatten brauchen.","Hars et al. S. 57","online-Umfrage",,,,,,,
,"Hitze","Bereitstellung von kostenlosem Trinkwasser für Personal","Getränkeindustrie; Verarbeitendes Gewerbe; Bausektor; Energiewirtschaft","Verhalten; Management & Arbeitsorganisation","Kleines Bierhaus; Decker Bier; Gaggenau; B1; B2; C1; IWB","Frankreich; Deutschland; Schweiz","Tieflagen; mittlere Lagen","zur Vorbeugung von Dehydrierung","Bierhaus: Ich meine klar, im Sommer viel mehr trinken, wenn es so heiß ist beim Arbeiten. ","Decker: Naja gut, da merkst du es eigentlich nur im Einzelnen, wenn du irgendwo Theken aufgebaut hast auf einem Festival, dass es schon teilweise im Sommer sehr heiß da ist. Das merken wir, aber das merkt ja auch jeder im Privaten. Aber jetzt so groß, dass wir Klimatechnik oder so einbauen würden –das machen wir halt einfach nicht. Da sollen sie einfach Wasser trinken und das ist auch ok.","Gaggenau: Les rendements sont certainement diminués. Sur un poste, la température montait à 42°C. On a mis des gros ventilateurs. Sur les autres postes, la température montait à 32°C : la productivité diminue. On met 2 bouteilles d’eau à disposition de chaque personne.","IWB: Es gibt sehr viele Tiefbauarbeiten, um Leitungen zu bauen,  Leitungsgräben  auszuheben  in  der  Stadt,  Leitungen  auszutauschen,  usw.  An  sehr heißen  Sommertagen  muss  man  da  sicherlich  zunehmend  vorsichtiger  sein:  Mehr  Pausen einräumen, mehr Trinkwasser zur Verfügung stellen, Schatten schaffen –das muss sicherlich Stück für Stück angepasst werden.",,,,,,
,"Hitze","Flexibilisierung von Arbeitszeiten - Verlagerung von anstrengenden Arbeiten in kühlere Morgenstunden","Getränkeindustrie; Wasserversorgung; Forst- und Holzwirtschaft; Nahrungsmittelindustrie; Verarbeitendes Gewerbe","Management & Arbeitsorganisation; Verhalten","Kleines Bierhaus; B1; B2; U1; C1; Z1; Z2; D1; D2; Lieler; Forstbetrieb 1","Deutschland","Tieflagen; mittlere Lagen","z. B. früheren Arbeitsbeginn und früheres Ende bzw. lange Mittagspause in Hitzewellen ermöglichen; Arbeitspensum wird erledigt, kein Verdienstausfall","Bierhaus: Ich versuche halt die größte Arbeit oder die schwerste Arbeit nicht gerade in der Hitze zu machen; gleich morgens oder erst später. Das südländische mit der Siesta in der Mittagspause –das machen die auch nicht von ungefähr, als Spanier oder so. Ich versuche mich da ein bisschen dran zu orientieren, dass ich nicht gerade mittagsum 15 Uhr in der größten Hitze gerade Kühlwasser lade, sondern dann halt lieber Bürojobs mache oder was unten im kühlen Bierkeller.","Lieler: Man versucht dann früher morgens anzufangen und dass man die Schicht dann ein bisschen entlastet. Aber das ist immer gerade so meistens die Jahreszeit, wo dann viel Umsatzist und viel getrunken wird und dann natürlich muss auch mehr produziert werden. Da ist die Anpassung dann immer ein bisschen schwierig. ","Forst 1: Ja, die Hitzewellen zum Beispiel. Die Hitzewellen treffen uns ja sehr stark, weil dadurch auch (...) wir müssen danach planen, weil zu stark (...) können wirnicht draußen arbeiten.","Dörr 2021","online-Befragung",,,,,
,"Hitze","Verschieben von Schichten in kühlere Nacht- und Morgenstunden; Ausfall der Tagschicht","Verarbeitendes Gewerbe","Management & Arbeitsorganisation","Gaggenau","Frankreich","Tieflagen","komplizierter Schichtplanung in größeren Unternehmen; Zusatzkosten für Nachtschicht; Verdienstausfall wg. Ausfall der Tagschicht","Quand on a les 3 / 4 semaines où les températures sont relativement élevées chaque année, on passe en équipe de nuit pour ces personnes-là. On a toute la contrainte de l’équipe de nuit, donc ça nous coûte aussi derrière. Et même la nuit, si les températures ne descendent pas en dessous de 20°C, ça reste quand-même assez chaud. Par contre, ça leur permet au moins d’ouvrir en grand les grandes portes. [...] Pendant la canicule de 2003, on a décalé les horaires. C’est la solution la plus facile à mettre en œuvre mais elle n’est pas trop durable. Elle a aussi un coût, bien-sûr. C’est un peu idiot de faire travailler les gens la nuit… Parce qu’à l’époque, ces ateliers là travaillaient uniquement en journée, en montage on travaillait en une équipe.",,,,,,,,,
,"Hitze","Bereitstellung von Sonnen- und UV-Schutz für exponierte Mitarbeiter","Wasserversorgung; Bausektor; Energiewirtschaft","sonstige technische Maßnahmen","B1; B2; U1; C1; Z1; Z2; D1; IWB","Deutschland; Schweiz","Tieflagen; mittlere Lagen","z. B. mobile Pavillons auf Baustellen zum Schattenspenden, kostenlos Sonnencreme, Kopfbedeckung, etc.","Hars et al S. 62","IWB: Es gibt sehr viele Tiefbauarbeiten, um Leitungen zu bauen,  Leitungsgräben  auszuheben  in  der  Stadt,  Leitungen  auszutauschen,  usw.  An  sehr heißen  Sommertagen  muss  man  da  sicherlich  zunehmend  vorsichtiger  sein:  Mehr  Pausen einräumen, mehr Trinkwasser zur Verfügung stellen, Schatten schaffen –das muss sicherlich Stück für Stück angepasst werden.",,,,,,,,
,"Hitze","Erweiterung der Produktpalette - Anpassung an Veränderung der Kundenwünsche","Getränkeindustrie","Innovationen im Geschäftsmodell","Decker Bier","Deutschland","Tieflagen","z. B. mehr alkoholfreie Getränke und leichte Biere","Decker: wenn’s zu heiß ist, dann wollen die Leute keinen Alkohol trinken. […]Man merkt es   generell   auch,   dass   Produkte   wie   alkoholfreies   Bier,   Fassbrauer,   dieser   ganze Limonadensektor –der geht ja radikal durch die Decke. Also alles was nicht Alkohol hat, aber trotzdem irgendwie Erwachsenen-Getränke sind, oder Erwachsenen trinken können, weil es nicht zu süß ist und nicht zu chemisch. Das funktioniert unheimlich gut momentan. Und das hat mitdemZeitgeist zu tun, aber ich denke im Einzelnen dann auch mit der Wetterlage",,,,,,,,,
,"Hitze","mehr Pausen und Abkühlung für Mitarbeiter ermöglichen","Getränkeindustrie; Energiewirtschaft","Verhalten","Lieler; IWB","Deutschland; Schweiz","Tieflagen; mittlere Lagen","z. B. Einrichtung oder Öffnung von gekühltem Räumen","Lieler: Man versucht dann mehr Pausen oder mehr Abkühlung... Eis für die Mitarbeiter. Das sind natürlich auch nicht alle, das ist hauptsächlich an der Flaschenwaschmaschine, wo eben hohe Temperaturen sind","IWB: Es gibt sehr viele Tiefbauarbeiten, um Leitungen zu bauen,  Leitungsgräben  auszuheben  in  der  Stadt,  Leitungen  auszutauschen,  usw.  An  sehr heißen  Sommertagen  muss  man  da  sicherlich  zunehmend  vorsichtiger  sein:  Mehr  Pausen einräumen, mehr Trinkwasser zur Verfügung stellen, Schatten schaffen –das muss sicherlich Stück für Stück angepasst werden.",,,,,,,,
,"Hitze","Installation von Ventilatoren und mobilen Klimaanlagen an hitzebelasteten Arbeitsplätzen","Getränkeindustrie; Verarbeitendes Gewerbe; Landwirtschaft","sonstige technische Maßnahmen","Gaggenau","Deutschland; Frankreich","Tieflagen","in Büros, Hallen, aber auch Ställen, etc.","Les rendements sont certainement diminués. Sur un poste, la température montait à 42°C. On a mis des gros ventilateurs. Sur les autres postes, la température montait à 32°C : la productivité diminue. On met 2 bouteilles d’eau à disposition de chaque personne.","Raab 2020, S. 48",,,,,,,,
,"Hitze","vorübergehende Drosselung der Produktion, um Überhitzung zu verhindern","Getränkeindustrie","sonstige technische Maßnahmen","Lieler","Deutschland","Tieflagen","bei Abwärme emittierenden Maschinen und Prozessen","Lieler: Arbeitsabläufe, Produktion  habe  ich  eher  so  gedacht,  dass  wenn  dann  eine  Hitzewelle  ist,  dass  alles  ein bisschen langsamer läuft, weil die Maschinen natürlich auch nicht bei 100%Leistung arbeiten können,",,,,,,,,,
,"Hitze","Regelmäßige Temperaturmessung in kritischen Räumen & Anlagen","Wasserversorgung","sonstige technische Maßnahmen",,,,"um Hitzebelastung frühzeitig zu erkennen und gegenzusteuern","Krieger & Wolf 2021",,,,,,,,,
